strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030401020402,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071200020504,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020802030301,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
060200010301,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070400020309,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070400030310,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031502030302,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050902010102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050902010402,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201120106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070802080703,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071300030801,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071300050504,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601090206,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902060602,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051202080101,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111302080402,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031501100403,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110702010401,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020503041102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030102030305,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601050303,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201100401,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201120902,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070500050206,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110701030102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120602010702,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030300020606,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020403020404,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701070108,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040500011302,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071401080103,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101110702,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080801030406,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110100080206,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120302021105,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201090101,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121001020204,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040400030202,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050600011002,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070900050708,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020302020502,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071300010504,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
103002000604,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040500040204,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050600030201,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070200110506,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070802050501,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080402070302,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080403020702,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101100307,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020700050301,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020700050803,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020700080701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050902030304,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071200050106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080402060107,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102901061006,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031402020106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070500060204,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030201010303,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030502040312,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050301010610,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051401040903,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070600061003,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071401070504,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080102030607,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111101010105,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030201050107,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080102020303,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110701020101,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030300070802,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020600021003,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031501070202,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071300120106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070400030305,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080202031208,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120302010701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020403010704,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
